"Product (20)","Description","Primary Vendor Name","Product Line Description","Web Category Description","Primary Vendor","Product Line Code","Web Category","Major Group Code","Major Group Description","Price Group Code","Price Group Description","UPC","Image File","Image Path","Image URL","Status","Available","Units of Measure"
"CT1512","1-1/2"" x 1-1/2"" x 1-1/4""      Copper Reducing Tee           ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","","","https://ysps.shop/media/products/images/CT050507.jpg","https://ysps.shop/media/products/images/CT050507.jpg","","44","EA"
"CC2015","2"" x 1-1/2"" Copper Reducing   Coupling                      ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CC05.jpg","https://ysps.shop/media/products/images/CC05.jpg","","145","EA"
"VALFBP07","3/4"" PRESS X FLANGE BALL VALVE                              ","EVERFLOW SUPPLIES INC","SPECIAL VALVES","","00283","0203","","011","Valves","","","","","","","N","6","EA"
"SDSMAX1213","1/2"" X 13"" SDS-MAX                                          ","ITM","Blades / Bits","","00366","0200","","","","","","","","https://ysps.shop/media/products/images/SDSMAX113.jpg","https://ysps.shop/media/products/images/SDSMAX113.jpg","","6","EA"
"GLB0201","1/4 x 1/8 GALVANIZED BUSHING                                ","EVERFLOW SUPPLIES INC","GALVANIZED FITTINGS","","00283","0028","","","","","","80459598031","","","","N","0","EA"
"SVTY10040","                                                            ","AB&I Foundry Tyler Pipe","sv fitting","","01615","0128","","","","","","","","","","N","0","EA"
"65200","Slim-Profile Mini Ratchet Set,5-Piece                       ","Klein Tools Inc.","Klein Tools","","01283","0156","","","","","","092644651168","65200.jpg","\\192.168.1.66\IMAGES/65200.jpg","","","2","EA"
"BO1255VSR","BOSCH #11255VSR 1"" SDS-plus?  BULLDOG Xtreme Rotary Hammer  ","","Electronic Tools","","00564","0199","","","","","","","","","","N","0","EA"
"SDD34-G","Fine Fixures GLASS FOR TUB    DOOR SDD34                    ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","","","N","0","EA"
"SVTY80","                                                            ","AB&I Foundry Tyler Pipe","sv fitting","","01615","0128","","","","","","","","","","N","0","EA"
"VALFBP15","1-1/2"" PRESS X FLANGE BALL    VALVE                         ","","COPPER PRESS VALVE","","","0094","","","","","","","","","","N","0","EA"
"NHR8020","8 X 2 NO HUB REDUCER                                        ","AB&I Foundry Tyler Pipe","NO HUB FITTING ALL + 4","","01615","0109","","03","NO HUB FITTINGS","","","61194200506","","https://ysps.shop/media/products/images/NHR2015.jpg","https://ysps.shop/media/products/images/NHR2015.jpg","","4","EA"
"VNMC22RG","Fine Fixures VENEZIAN MEDICINECABINET 22"" WIDE -ROCK GREY   ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/Mirror-1-11-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/Mirror-1-11-2000x2000-1.jpg","N","0","EA"
"VALFBP20","2"" PRESS X FLANGE BALL VALVE  H81407HV                      ","EVERFLOW SUPPLIES INC","COPPER PRESS VALVE","","00283","0094","","","","","","","","","","","2","EA"
"DCT01","1/8 C X C X C TEE                                           ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768213536","","","","N","0","EA"
"KSS.03","Oakland 3.5 s.s.sink strainer with basket                   ","Neolink Importing CORP","IMPORT FAUCETS","","01466","0049","","","","","","","KSS-03-02.jpg","\\192.168.1.66\IMAGES/KSS-03-02.jpg","","N","0","EA"
"JRS1070Y04CID","Jay R Smith 4"" Special PurposeRoof Drain, Overflow Standpipe","","JR SMITH","","","0149","","","","","","","","","","N","0","EA"
"DCT02","1/4 C X C X C TEE                                           ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768209744","","","","N","0","EA"
"DCT03","3/8 C X C X C TEE                                           ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768209751","","","","N","0","EA"
"SDJ36PC","Fine Fixures (SENA1-36PC)     SHOWER ENCLOSURE NEO-ANGLE    ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/SENA1-PC-copy.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/SENA1-PC-copy.jpg","N","0","EA"
"DCT05","1/2 C X C X C TEE                                           ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768232261","","","","N","0","EA"
